x_coord,y_coord
76.7375572,30.7379174
76.7420655,30.7380246
76.7287692,30.7380064
76.731958,30.7380118
76.740353,30.7380879
76.7303741,30.7380855
76.7427417,30.7381688
76.7312674,30.7381257
76.7421064,30.7382422
76.7291218,30.7382305
76.7426377,30.7383126
76.7346992,30.7384419
76.7423196,30.7383792
76.7400888,30.7383906
76.7301615,30.7383476
76.7316613,30.7383588
76.7417226,30.738463
76.7309833,30.7384624
76.729477,30.7384608
76.7403648,30.7385692
76.7327741,30.7385383
76.7399051,30.738601
76.7274907,30.7386012
76.7351453,30.738678
76.7298669,30.7387004
76.7343766,30.7387806
76.7307702,30.7387314
76.733192,30.7387886
76.739687,30.7388507
76.7272283,30.7388919
76.7342888,30.7388909
76.7355406,30.7389293
76.7348303,30.7390531
76.7411201,30.7390578
76.7311662,30.7389889
76.7281251,30.7390572
76.7347315,30.7391682
76.7270004,30.7391646
76.7382803,30.73919
76.7393497,30.7392499
76.7328144,30.7392325
76.7339753,30.7392774
76.7278869,30.739326
76.7352002,30.7393224
76.7351275,30.7394143
76.7296586,30.7394426
76.726767,30.7394705
76.7407687,30.7395375
76.727646,30.7396194
76.7324702,30.7396447
76.7366774,30.7396521
76.7389873,30.7396429
76.7378733,30.7396736
76.7265269,30.7397655
76.7348201,30.7397958
76.729397,30.7397754
76.7303252,30.7398432
76.7274404,30.7398982
76.7404355,30.7399923
76.7339736,30.7399418
76.7376162,30.7399928
76.7321649,30.7400475
76.7363441,30.7400428
76.7263163,30.7400755
76.7374808,30.7401628
76.7272024,30.7401831
76.7344438,30.7402312
76.7336474,30.7403367
76.7372874,30.7403981
76.7260396,30.7404007
76.7269604,30.7404751
76.7374716,30.7405156
76.7359648,30.7404957
76.7340698,30.7406677
76.725778,30.7407122
76.7333046,30.7407628
76.7309408,30.7407365
76.7270411,30.7405269
76.7379413,30.7408153
76.7356016,30.7409449
76.7324466,30.7410027
76.7337595,30.7410483
76.7401572,30.7410587
76.7254775,30.7410656
76.7271155,30.7411555
76.7402594,30.7411245
76.7376104,30.7412174
76.7360607,30.7412296
76.7328879,30.7412829
76.7352191,30.7413945
76.7388188,30.7413751
76.7327305,30.7414728
76.7320096,30.7415134
76.7365879,30.7415565
76.7372848,30.7416132
76.7392691,30.7416601
76.7357373,30.7416543
76.7331562,30.7417352
76.7324677,30.74179
76.7384869,30.7417691
76.7349136,30.7417725
76.7266063,30.741779
76.7370779,30.7418604
76.725143,30.7419156
76.7335715,30.7419913
76.7369741,30.7419898
76.7263605,30.7420655
76.7353976,30.7420763
76.738161,30.742156
76.7339663,30.7422347
76.7320758,30.742263
76.7367999,30.7422029
76.7367527,30.7422647
76.7312893,30.7423585
76.7258349,30.7423628
76.7260169,30.7424804
76.732499,30.7425343
76.7386841,30.74248
76.7337338,30.742524
76.7378397,30.7425373
76.7388667,30.7425931
76.7317272,30.7426433
76.7347384,30.7426965
76.7363864,30.7426968
76.7329136,30.7428001
76.7376616,30.7427486
76.736176,30.7429363
76.7385513,30.7429867
76.7242463,30.7429947
76.7332953,30.7430448
76.7345042,30.7429817
76.7383665,30.7431942
76.7260259,30.7433381
76.7239198,30.7433798
76.7249573,30.7434367
76.7370819,30.7434368
76.7329828,30.7434346
76.725813,30.7436004
76.7331599,30.7435544
76.7365624,30.7436259
76.7290809,30.7437427
76.7363766,30.7438479
76.7246374,30.7438256
76.7268848,30.743878
76.725614,30.7438449
76.7332696,30.7440092
76.7370884,30.7440764
76.7333939,30.7440844
76.7266701,30.7441333
76.7369739,30.7442129
